Date,Price,Position
2019-08-15,260.6236267089844,1.0
2019-08-16,264.4691467285156,0.0
2019-09-06,272.89251708984375,-1.0
2019-09-17,275.5203857421875,0.0
2019-10-02,264.9637756347656,1.0
2019-10-07,269.58135986328125,0.0
2019-10-09,267.9163818359375,1.0
2019-10-10,269.7283630371094,0.0
2019-10-29,278.8990478515625,-1.0
2019-10-30,279.7545471191406,0.0
2019-10-31,279.0094299316406,-1.0
2019-11-01,281.5941162109375,0.0
2019-11-04,282.72552490234375,-1.0
2019-11-07,283.4705810546875,0.0
2019-11-08,284.169677734375,-1.0
2019-11-12,284.22479248046875,0.0
2019-11-18,287.0027160644531,-1.0
2019-11-20,285.8529052734375,0.0
2019-11-26,288.89752197265625,-1.0
2019-12-03,284.7307434082031,0.0
2019-12-09,288.7135314941406,-1.0
2019-12-10,288.3916320800781,0.0
2019-12-13,291.8777770996094,-1.0
2019-12-31,297.50927734375,0.0
2020-01-03,298.0176696777344,-1.0
2020-01-06,299.1546325683594,0.0
2020-01-10,301.0679626464844,-1.0
2020-01-13,303.1385803222656,0.0
2020-01-14,302.6763916015625,-1.0
2020-01-24,303.8963623046875,0.0
2020-02-03,299.5982971191406,1.0
2020-02-04,304.1645202636719,0.0
2020-02-06,308.71240234375,-1.0
2020-02-10,309.359375,0.0
2020-02-11,309.8955383300781,-1.0
2020-02-18,311.2543640136719,0.0
2020-02-25,288.9960632324219,1.0
2020-03-03,277.5249938964844,0.0
2020-03-04,289.1902160644531,1.0
2020-03-05,279.5770263671875,0.0
2020-03-10,266.59918212890625,1.0
2020-03-11,253.60296630859375,0.0
2020-03-12,229.3389434814453,1.0
2020-03-16,221.7039031982422,0.0
2020-03-17,233.67413330078125,1.0
2020-03-25,229.46023559570312,0.0
2020-04-09,258.66461181640625,-1.0
2020-04-16,259.50140380859375,0.0
2020-05-11,271.96038818359375,-1.0
2020-05-13,261.8258056640625,0.0
2020-05-19,271.46759033203125,-1.0
2020-05-20,276.0793151855469,0.0
2020-05-21,274.1733093261719,-1.0
2020-05-22,274.6939697265625,0.0
2020-05-27,282.2158508300781,-1.0
2020-06-11,279.50091552734375,0.0
2020-06-29,284.3262939453125,1.0
2020-06-30,287.9683837890625,0.0
2020-07-13,294.0198974609375,-1.0
2020-07-14,297.830078125,0.0
2020-07-15,300.5662841796875,-1.0
2020-07-17,300.4449462890625,0.0
2020-07-21,303.5173645019531,-1.0
2020-07-24,299.66046142578125,0.0
2020-08-04,308.2333984375,-1.0
2020-08-12,315.1253356933594,0.0
2020-08-13,314.55572509765625,-1.0
2020-08-17,315.5643310546875,0.0
2020-08-25,321.3636169433594,-1.0
2020-09-04,319.91607666015625,0.0
2020-09-22,309.6922607421875,1.0
2020-09-23,302.51025390625,0.0
2020-09-24,303.3165283203125,1.0
2020-09-28,313.3395690917969,0.0
2020-10-08,322.33123779296875,-1.0
2020-10-15,325.8191833496094,0.0
2020-10-29,309.3921813964844,1.0
2020-11-03,315.0648193359375,0.0
2020-11-10,331.9510803222656,-1.0
2020-11-11,334.4170227050781,0.0
2020-11-12,331.17291259765625,-1.0
2020-11-13,335.7578125,0.0
2020-11-16,339.948974609375,-1.0
2020-11-18,334.0513610839844,0.0
2020-12-03,343.8118591308594,-1.0
2020-12-10,343.8493957519531,0.0
2020-12-29,349.7688293457031,-1.0
2021-01-05,349.6464538574219,0.0
2021-01-07,356.9627380371094,-1.0
2021-01-15,353.76123046875,0.0
2021-01-21,361.8026123046875,-1.0
2021-01-25,361.94378662109375,0.0
2021-02-01,354.2602844238281,1.0
2021-02-02,359.2696838378906,0.0
2021-02-05,365.0699768066406,-1.0
2021-02-11,367.8947448730469,0.0
2021-02-16,369.3919677734375,-1.0
2021-02-17,369.47674560546875,0.0
2021-03-04,354.702880859375,1.0
2021-03-08,359.4297180175781,0.0
2021-03-16,372.7911071777344,-1.0
2021-03-17,374.0623474121094,0.0
2021-03-18,368.619873046875,-1.0
2021-03-19,367.9377746582031,0.0
2021-04-05,383.8841552734375,-1.0
2021-04-15,392.86810302734375,0.0
2021-04-16,394.1811828613281,-1.0
2021-04-20,389.37274169921875,0.0
2021-05-10,394.82366943359375,-1.0
2021-05-11,391.2998962402344,0.0
2021-05-13,387.58734130859375,1.0
2021-05-17,392.53741455078125,0.0
2021-06-15,401.001953125,-1.0
2021-06-16,398.762939453125,0.0
2021-06-21,398.8828430175781,1.0
2021-06-22,401.0153503417969,0.0
2021-06-25,404.33258056640625,-1.0
2021-07-09,412.7772521972656,0.0
2021-07-12,414.255859375,-1.0
2021-07-14,413.4596862792969,0.0
2021-07-26,417.99005126953125,-1.0
2021-07-28,415.9144592285156,0.0
2021-08-17,420.8523864746094,-1.0
2021-08-18,416.2461242675781,0.0
2021-08-24,424.5771789550781,-1.0
2021-08-27,426.7380676269531,0.0
2021-08-30,428.6147155761719,-1.0
2021-09-07,427.8849182128906,0.0
2021-09-20,412.6924743652344,1.0
2021-09-23,421.3829345703125,0.0
2021-09-29,413.0823059082031,1.0
2021-09-30,408.03350830078125,0.0
2021-10-01,412.88262939453125,1.0
2021-10-04,407.5580749511719,0.0
2021-10-05,411.7987976074219,1.0
2021-10-06,413.51019287109375,0.0
2021-10-18,425.1957702636719,-1.0
2021-10-28,435.7782897949219,0.0
2021-11-04,443.94586181640625,-1.0
2021-11-09,444.3926696777344,0.0
2021-11-29,441.7494201660156,1.0
2021-11-30,433.1540832519531,0.0
2021-12-01,428.34295654296875,1.0
2021-12-03,431.1193542480469,0.0
2021-12-06,436.2252197265625,1.0
2021-12-07,445.2484130859375,0.0
2021-12-28,455.0089111328125,-1.0
2021-12-31,453.1865234375,0.0
2022-01-19,431.0404968261719,1.0
2022-01-31,429.2848815917969,0.0
2022-02-23,402.6065673828125,1.0
2022-02-25,417.6823425292969,0.0
2022-03-08,397.1679382324219,1.0
2022-03-10,405.9748229980469,0.0
2022-03-15,406.6331787109375,1.0
2022-03-16,415.64996337890625,0.0
2022-03-18,425.4595642089844,-1.0
2022-03-24,431.1736145019531,0.0
2022-03-25,433.2792663574219,-1.0
2022-03-31,432.2743225097656,0.0
2022-04-18,419.19049072265625,1.0
2022-04-20,425.6414794921875,0.0
2022-04-25,410.1361389160156,1.0
2022-04-29,394.33404541015625,0.0
2022-05-02,396.70770263671875,1.0
2022-05-04,410.6624755859375,0.0
2022-05-10,381.97760009765625,1.0
2022-05-16,382.9346618652344,0.0
2022-05-20,372.9232177734375,1.0
2022-05-23,379.9006042480469,0.0
2022-06-03,392.9366455078125,-1.0
2022-06-06,394.133056640625,0.0
2022-06-14,357.83892822265625,1.0
2022-06-16,350.92852783203125,0.0
2022-06-17,351.68499755859375,1.0
2022-06-22,359.8846130371094,0.0
2022-07-20,379.47491455078125,-1.0
2022-07-26,375.7452697753906,0.0
2022-07-28,390.337158203125,-1.0
2022-08-03,398.3924865722656,0.0
2022-08-04,398.1234130859375,-1.0
2022-08-08,396.9890441894531,0.0
2022-08-15,412.2441711425781,-1.0
2022-08-18,411.3118591308594,0.0
2022-08-29,387.03045654296875,1.0
2022-09-08,384.8676452636719,0.0
